app_id, name, version, language, os_type, platform, legacy, path
third_party.apps.microsoft.sql.express, Microsoft SQL Server 2019 Express, 15.0.2000.5, en_US, windows, x64, 0,third_party/apps/microsoft/sql/express/v15/15.0.2000.5/sqlexpr_2019_x64_enu.exe,
third_party.apps.microsoft.sql.express, Microsoft SQL Server 2014 Express, 12.3.6024.0, en_US, windows, x64, 0,third_party/apps/microsoft/sql/express/v12/12.3.6024.0/sqlexpr_2014_x64_enu.exe,
third_party.apps.microsoft.sql.express, Microsoft SQL Express 2014 x64, 12.0.2269.0, en_US, windows, x64, 0,third_party/apps/microsoft/sql/express/v12/12.0.2269.0/sqlexpr_2014_x64_enu.exe,
third_party.apps.microsoft.sql.express, Microsoft SQL Express 2014 x86, 12.0.2000.8, en_US, windows, x86, 0,third_party/apps/microsoft/sql/express/v12/12.0.2000.8/sqlexpr_2014_x86_enu.exe,
third_party.apps.microsoft.sql.express, Microsoft SQL Express 2008R2 x86, 10.50.4000.0, en_US, windows, x86, 0,third_party/apps/microsoft/sql/express/v10/10.50.4000.0/sqlexpr_2008r2_x86_enu.exe,
third_party.apps.microsoft.sql.express, Microsoft SQL Express 2008R2 x64, 10.50.4000.0, en_US, windows, x64, 0,third_party/apps/microsoft/sql/express/v10/10.50.4000.0/sqlexpr_2008r2_x64_enu.exe,
third_party.apps.safetica.agent.windows, Safetica Agent, 10.0.35.0, en_US, windows, x64;x86, 0,third_party/apps/safetica/agent/windows/v10/10.0.35/safetica_agent.msi,
third_party.apps.safetica.agent.windows, Safetica Agent, 9.9.31.0, en_US, windows, x64;x86, 0,third_party/apps/safetica/agent/windows/v9/9.9.31/safetica_agent.msi,
third_party.apps.safetica.agent.windows, Safetica Agent, 9.8.43.0, en_US, windows, x64;x86, 0,third_party/apps/safetica/agent/windows/v9/9.8.43/safetica_agent.msi,
third_party.apps.safetica.agent.windows, Safetica Agent, 9.3.92.0, en_US, windows, x64;x86, 0,third_party/apps/safetica/agent/windows/v9/9.3.92/safetica_agent.msi,
third_party.apps.safetica.agent.windows, Safetica Agent, 9.1.135.0, en_US, windows, x64;x86, 0,third_party/apps/safetica/agent/windows/v9/9.1.135/safetica_agent.msi,
com.eset.apps.business.era.mdm, ESET PROTECT Mobile Device Connector, 9.0.5064.0, en_US, linux, x64, 0,com/eset/apps/business/era/mdm/v9/9.0.5064.0/mdmcore_linux_x86_64.sh,
com.eset.apps.business.era.mdm, ESET PROTECT Mobile Device Connector, 9.0.4064.0, en_US, windows, x64, 0,com/eset/apps/business/era/mdm/v9/9.0.4064.0/mdmcore_x64.msi,
com.eset.apps.business.era.agent, ESET Management Agent, 9.0.3140.0, en_US, mac, x64;x86, 0,com/eset/apps/business/era/agent/v9/9.0.3140.0/agent_macosx_x86_64.dmg,
com.eset.apps.business.era.server.linux, ESET PROTECT Server, 9.0.2145.0, en_US, linux, x64, 0,com/eset/apps/business/era/server/linux/v9/9.0.2145.0/server_linux_x86_64.sh,
com.eset.apps.business.era.server.linux, ESET PROTECT Server, 9.0.2144.0, en_US, linux, x64, 0,com/eset/apps/business/era/server/linux/v9/9.0.2144.0/server_linux_x86_64.sh,
